No Data	gender	faed	maed	alg1	alg2	geo	trig	calc	mathgr	grades	mathach	mosaic	visual	visual2	satm	ethnic	religion	ethnic2	item01	item02	item03	item04	item05	item06	item07	item08	item09	item10	item11	item12	item13	item14	mosaic2	mosaic3	item04r	item05r	item08r	item11r	competence	motivation	mathcrs	maedRevis	faedRevis	item06r	item10r	pleasure	parEduc	CubedComp	Jumlah Missing Data	% Missing Data
1	1,0	10,0	10,0	0,0	0,0	0,0	0,0	0,0	0,0	4,0	9,0	31,0	8.75	7,0	500,0	2,0	1,0	2,0	1,0	4,0	3,0	1,0	4,0	2,0	2,0	1,0		2,0	1,0	3,0	3,0	3,0	35,0	30,0	4,0	1,0	4,0	4,0		2833333333,0	0,0	3,0	3,0	3,0	3,0	3.25	10,0		3	7%
2	1,0	2,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	5,0	10333,0	56,0	4.75	4,0	460,0	3,0	2,0	3,0	3,0	4,0	3,0		1,0	2,0	3,0	3,0	3,0	1,0	1,0	4,0	2,0	3,0	56,0	53,0		4,0	2,0	4,0	3.5		0,0	1,0	1,0	3,0	4,0	3.5	2,0	42875,0	3	7%
3	1,0	2,0	2,0	0,0	0,0	0,0	0,0	0,0	1,0	6,0	7667,0	25,0	4.75	3,0	420,0	2,0	2,0		1,0	1,0	1,0	4,0	4,0	4,0	1,0	2,0	4,0	1,0	1,0	3,0	2,0	2,0	26,0	20,0	1,0	1,0	3,0	4,0	2.5	1833333333,0	0,0	1,0	1,0	1,0	4,0	2,0	2,0	15625,0	1	2%
4	0,0	3,0	3,0	1,0	0,0	0,0	0,0	0,0	0,0	3,0	5,0	22,0	1,0	1,0	400,0	1,0	1,0	1,0	1,0	1,0	1,0	2,0	4,0	3,0	1,0	3,0	4,0	3,0	4,0	4,0	3,0	1,0	20,0	23,0	3,0	1,0	2,0	1,0	1.75	2333333333,0	1,0	1,0	1,0	2,0	2,0	1.5	3,0	5359375,0	0	0%
5	1,0		3,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	-1667,0	17.5	2.25	2,0	450,0	2,0	1,0	2,0	1,0	4,0	1,0	4,0	4,0	4,0	1,0	4,0	1,0	1,0	4,0	2,0	2,0	3,0	18,0	20,0	1,0	1,0	1,0	1,0	1,0	1333333333,0	0,0	1,0		1,0	4,0	3,0	3,0	1,0	2	5%
6	1,0	3,0	2,0	0,0	0,0	0,0	0,0	0,0	1,0	5,0	1,0	23.5	1,0	0,0	250,0	3,0	2,0	2,0	1,0	1,0	1,0	4,0	4,0	4,0	1,0	4,0	1,0	1,0	4,0	1,0	2,0	4,0	24,0	20,0	1,0	1,0	1,0	1,0	1,0	1166666667,0	0,0	1,0	1,0	1,0	4,0	2.5	2.5	1,0	0	0%
7	0,0	9,0	6,0	1,0	1,0	1,0	0,0	0,0	0,0	6,0	12,0	28.5	2.5	2,0	480,0	1,0	2,0	1,0		1,0	3,0	1,0	1,0	3,0	3,0	1,0	3,0	1,0	1,0	3,0	3,0	2,0	28,0	30,0	4,0	4,0	4,0	4,0	3.5		3,0	2,0	3,0	2,0	4,0	2.25	7.5	42875,0	2	5%
8	1,0	5,0	3,0	1,0	0,0	0,0	0,0	0,0	0,0	4,0	8,0	29.5	3.5	3,0	430,0	1,0	3,0	1,0	1,0	1,0	3,0	2,0	4,0	2,0	1,0	2,0	3,0	2,0	1,0	3,0	3,0	3,0	30,0	32,0	3,0	1,0	3,0	4,0	2.75	2333333333,0	1,0	1,0	2,0	3,0	3,0	2.5	4,0	20796875,0	0	0%
9	1,0	3,0	3,0	1,0	0,0	0,0	0,0	0,0	1,0	7,0	13,0	28,0	3.5	2,0	490,0	1,0		2,0	3,0	1,0		1,0	1,0	2,0	2,0	2,0	4,0	2,0	1,0	3,0	2,0	2,0	27,0	25,0	4,0	4,0	3,0	4,0		2833333333,0	1,0	1,0	1,0	3,0	3,0	2.25	3,0		4	10%
10	0,0	8,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	5,0	3667,0	27.5	3.75	3,0	300,0	2,0	1,0	2,0	1,0	3,0	1,0	4,0	4,0	4,0	1,0	3,0	3,0	2,0	4,0	3,0	4,0	2,0	27,0	27,0	1,0	1,0	2,0	1,0	1.5	2,0	0,0	1,0	3,0	1,0	3,0	2.25	5,0	3375,0	0	0%
